model,var_level,var_distribution,distribution_specific_quantile_available,n_obs,observed_violations,expected_violations,violation_rate,kupiec_stat,kupiec_p_value,christoffersen_independence_stat,christoffersen_independence_p_value,christoffersen_conditional_coverage_stat,christoffersen_conditional_coverage_p_value,violation_cluster_count,max_violation_cluster_length,mean_violation_cluster_length,basel_traffic_light_zone,interpretation,normal_quantile,n00,n01,n10,n11
Hybrid-LogTarget,0.01,common_normal,False,726,47,7.26,0.06473829201101929,98.32909783178638,3.5432110912170507e-23,4.7016023381415835,0.030134510539871876,103.03070016992797,4.238066088111726e-23,40,2,1.175,red,reject_unconditional_coverage_5pct,-2.3263478740408408,639,39,40,7
Hybrid-LogTarget-Small,0.01,common_normal,False,726,48,7.26,0.06611570247933884,102.20099124093474,5.016479870753921e-24,6.487980903035179,0.01086062630064304,108.68897214396992,2.503165572474549e-24,40,3,1.2,red,reject_unconditional_coverage_5pct,-2.3263478740408408,638,39,40,8
LSTM-LogTarget-Small,0.01,common_normal,False,726,52,7.26,0.07162534435261708,118.1264667899357,1.6267781418588974e-27,12.002451292294552,0.0005313062118503394,130.12891808223026,5.531774530839239e-29,41,4,1.2682926829268293,red,reject_unconditional_coverage_5pct,-2.3263478740408408,633,40,41,11
LSTM-LogTarget,0.01,common_normal,False,726,56,7.26,0.07713498622589532,134.71541330700666,3.810527114793049e-31,3.209364396204194,0.07321792092063831,137.92477770321085,1.122057370578221e-30,48,3,1.1666666666666667,red,reject_unconditional_coverage_5pct,-2.3263478740408408,622,47,48,8
Calibrated-LSTM-LogTarget-isotonic,0.025,common_normal,False,726,17,18.150000000000002,0.023415977961432508,0.07632195646118589,0.7823450834635974,0.7678888212350898,0.38087095576194707,0.8442107776962757,0.6556649359797737,17,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,692,16,17,0
Refit-BestAsymmetric-rolling_1000_monthly,0.025,common_normal,False,745,20,18.625,0.026845637583892617,0.10170483767225846,0.7497932754055401,0.3388699802350743,0.5604822180655944,0.44057481790733277,0.8022881800168772,19,2,1.0526315789473684,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,705,19,19,1
HAR-Parkinson,0.025,common_normal,False,745,17,18.625,0.022818791946308724,0.14972435174232146,0.6987989169042421,0.7951206143451657,0.37255624146565014,0.9448449660874871,0.6234900432947121,17,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,710,17,17,0
ComboMean-PoolC_GARCH_CalibratedNeural,0.025,common_normal,False,726,16,18.150000000000002,0.02203856749311295,0.2719049056194649,0.6020567986214564,0.722205171338743,0.3954215242649438,0.9941100769582079,0.6083195019095939,16,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,693,16,16,0
ComboMedian-PoolC_GARCH_CalibratedNeural,0.025,common_normal,False,726,16,18.150000000000002,0.02203856749311295,0.2719049056194649,0.6020567986214564,0.722205171338743,0.3954215242649438,0.9941100769582079,0.6083195019095939,16,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,693,16,16,0
Refit-OriginalARIMAGARCH-expanding_quarterly,0.025,common_normal,False,745,21,18.625,0.028187919463087248,0.29851620739438545,0.5848141240990795,0.24807634983974935,0.6184328474396162,0.5465925572341348,0.760867325511807,20,2,1.05,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,703,20,20,1
Refit-OriginalGARCH-expanding_quarterly,0.025,common_normal,False,745,21,18.625,0.028187919463087248,0.29851620739438545,0.5848141240990795,0.24807634983974935,0.6184328474396162,0.5465925572341348,0.760867325511807,20,2,1.05,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,703,20,20,1
ARIMA-GARCH,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
AdvGARCH-BestSymmetric,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
ComboMean-PoolA_Econometric,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
ComboMedian-PoolA_Econometric,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
ComboPair-GARCH11_ARIMAGARCH,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
ComboStack-PoolA_Econometric,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
"GARCH(1,1)",0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
HistoricalMean,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,21,2,1.0476190476190477,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,21,21,1
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
Calibrated-Hybrid-LogTarget-Small-scale_mean,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
Calibrated-Hybrid-LogTarget-Small-scale_qlike,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
ComboPair-BestGARCHFamily_BestCalibratedNeural,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
ComboPair-BestGARCHFamily_HybridQLIKE,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
ComboPair-BestRefitGARCH_BestCalibratedNeural,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
ComboPair-BestRefitGARCH_HybridQLIKE,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,1.0273102166870274,0.31079125871247393,1.6226964814362077,0.4442586946036863,14,2,1.0714285714285714,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,696,14,14,1
ComboStack-PoolB_GARCH_Neural,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,1.0273102166870274,0.31079125871247393,1.6226964814362077,0.4442586946036863,14,2,1.0714285714285714,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,696,14,14,1
ComboStack-PoolC_GARCH_CalibratedNeural,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
ComboStack-PoolD_AllStable,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,15,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,695,15,15,0
Calibrated-ARIMA-GARCH-LSTM-isotonic,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,0.5513717790036594,0.4577577271187818,1.606484618099529,0.4478744600006874,14,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,14,14,0
Calibrated-Hybrid-LogTarget-isotonic,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,0.5513717790036594,0.4577577271187818,1.606484618099529,0.4478744600006874,14,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,14,14,0
Calibrated-Hybrid-QLIKE-isotonic,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,0.5513717790036594,0.4577577271187818,1.606484618099529,0.4478744600006874,14,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,14,14,0
Calibrated-LSTM-isotonic,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,0.5513717790036594,0.4577577271187818,1.606484618099529,0.4478744600006874,14,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,14,14,0
ComboPair-GARCH11_HybridQLIKE,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,0.5513717790036594,0.4577577271187818,1.606484618099529,0.4478744600006874,14,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,14,14,0
LSTM,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,1.2365327646788273,0.2661403224439479,2.291645603774697,0.3179621902399889,13,2,1.0769230769230769,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,698,13,13,1
LSTM-QLIKE,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,1.2365327646788273,0.2661403224439479,2.291645603774697,0.3179621902399889,13,2,1.0769230769230769,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,698,13,13,1
AdvGARCH-BestARIMA,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,23,2,1.0434782608695652,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,23,23,1
AdvGARCH-BestAsymmetric,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,23,2,1.0434782608695652,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,23,23,1
AdvGARCH-BestHeavyTail,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,23,2,1.0434782608695652,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,23,23,1
AdvGARCH-BestQLIKE,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,23,2,1.0434782608695652,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,23,23,1
Refit-BestGARCHFamily-fixed_train_only,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,23,2,1.0434782608695652,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,697,23,23,1
Calibrated-Hybrid-LogTarget-affine_nonnegative,0.025,common_normal,False,726,13,18.150000000000002,0.01790633608815427,1.6606272717417596,0.19751865217387227,0.4747454808122029,0.49081208802247633,2.1353727525539625,0.3438030288075944,13,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,699,13,13,0
Calibrated-Hybrid-LogTarget-scale_qlike,0.025,common_normal,False,726,13,18.150000000000002,0.01790633608815427,1.6606272717417596,0.19751865217387227,0.4747454808122029,0.49081208802247633,2.1353727525539625,0.3438030288075944,13,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,699,13,13,0
Calibrated-LSTM-QLIKE-isotonic,0.025,common_normal,False,726,13,18.150000000000002,0.01790633608815427,1.6606272717417596,0.19751865217387227,0.4747454808122029,0.49081208802247633,2.1353727525539625,0.3438030288075944,13,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,699,13,13,0
Calibrated-LSTM-QLIKE-scale_qlike,0.025,common_normal,False,726,13,18.150000000000002,0.01790633608815427,1.6606272717417596,0.19751865217387227,1.4736295005619695,0.2247739122417759,3.134256772303729,0.208643466392947,12,2,1.0833333333333333,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,700,12,12,1
ComboMean-PoolB_GARCH_Neural,0.025,common_normal,False,726,13,18.150000000000002,0.01790633608815427,1.6606272717417596,0.19751865217387227,0.4747454808122029,0.49081208802247633,2.1353727525539625,0.3438030288075944,13,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,699,13,13,0
ARIMA-GARCH-LSTM,0.025,common_normal,False,726,12,18.150000000000002,0.01652892561983471,2.4229449905351146,0.11956995337514816,0.40394614017773733,0.5250583103770574,2.826891130712852,0.24330351907680536,12,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,12,12,0
Calibrated-Hybrid-LogTarget-scale_mean,0.025,common_normal,False,726,12,18.150000000000002,0.01652892561983471,2.4229449905351146,0.11956995337514816,0.40394614017773733,0.5250583103770574,2.826891130712852,0.24330351907680536,12,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,12,12,0
Calibrated-Hybrid-QLIKE-affine_nonnegative,0.025,common_normal,False,726,12,18.150000000000002,0.01652892561983471,2.4229449905351146,0.11956995337514816,0.40394614017773733,0.5250583103770574,2.826891130712852,0.24330351907680536,12,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,12,12,0
Calibrated-Hybrid-QLIKE-scale_qlike,0.025,common_normal,False,726,12,18.150000000000002,0.01652892561983471,2.4229449905351146,0.11956995337514816,0.40394614017773733,0.5250583103770574,2.826891130712852,0.24330351907680536,12,1,1.0,not_applicable,no_5pct_backtest_rejection,-1.9599639845400538,701,12,12,0
