candidate_id,candidate_type,mean_label,arch_mean,arch_lags,arima_p,arima_q,volatility_label,arch_vol,p,o,q,distribution,volatility_group,is_asymmetric,is_heavy_tail,status,forecast_policy,validation_n_obs,validation_RMSE,validation_MAE,validation_QLIKE,test_n_obs,test_RMSE,test_MAE,test_QLIKE,warnings,aic,bic,converged,loglikelihood,n_params,fit_rows,context_rows,arima_aic,arima_bic,arima_converged,arima_warnings,garch_warnings,garch_aic,garch_bic,garch_converged,garch_loglikelihood,garch_n_params
direct_zero_garch_2_2_ged,direct_arch,Zero,Zero,0,,,"GARCH(2,2)",GARCH,2,0,2,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.719019601819913,2.3714666023646305,1.6360556149698575,745,3.6288393192302904,1.414443270473545,1.0697244314111067,,6953.718986181051,6988.593255416983,True,-3470.8594930905256,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_3_normal,direct_arch,Zero,Zero,0,,,"GARCH(2,3)",GARCH,2,0,3,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.717504090045742,2.36386809797915,1.6308261130002963,745,3.6189411861149456,1.4100799566871458,1.0667681981437795,,7035.131828427579,7070.006097663511,True,-3511.5659142137897,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_3_t,direct_arch,Zero,Zero,0,,,"GARCH(2,3)",GARCH,2,0,3,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.7237164829708735,2.379089674019051,1.6382029299788197,745,3.6097862942318115,1.416642781224212,1.067992806323423,,6939.523640966118,6980.210288408039,True,-3462.761820483059,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_3_skewt,direct_arch,Zero,Zero,0,,,"GARCH(2,3)",GARCH,2,0,3,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.7233520997247584,2.3855909614866606,1.6339500171110688,745,3.6181365633027602,1.4220948153129291,1.0686746175276487,,6909.047467183258,6955.546492831167,True,-3446.523733591629,8.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_3_ged,direct_arch,Zero,Zero,0,,,"GARCH(2,3)",GARCH,2,0,3,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.720094747164701,2.370149420432895,1.6356667713475703,745,3.6126121502338924,1.4120102915649155,1.0672992189011896,,6955.253746828944,6995.940394270864,True,-3470.626873414472,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_1_normal,direct_arch,Zero,Zero,0,,,"GARCH(3,1)",GARCH,3,0,1,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.716181891467372,2.3642234433973477,1.6308384445619468,745,3.6351044346296337,1.4124462218862408,1.0692928344491177,,7033.641463557613,7062.703354587556,True,-3511.8207317788065,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_1_t,direct_arch,Zero,Zero,0,,,"GARCH(3,1)",GARCH,3,0,1,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.72149781831604,2.3798678832525137,1.6381438191833495,745,3.6341251338987672,1.419644947067387,1.0719573537709834,,6938.25229406401,6973.126563299942,True,-3463.126147032005,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_1_skewt,direct_arch,Zero,Zero,0,,,"GARCH(3,1)",GARCH,3,0,1,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.722111635782014,2.386601516091199,1.634003337409831,745,3.63799484840031,1.4248600704136438,1.0718729231122615,,6907.445329819679,6948.131977261599,True,-3446.7226649098393,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_1_ged,direct_arch,Zero,Zero,0,,,"GARCH(3,1)",GARCH,3,0,1,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.718422630061297,2.3705810028592516,1.6355882350758146,745,3.633519608039232,1.4148409907302935,1.0707453082973073,,6953.798618958929,6988.672888194861,True,-3470.8993094794646,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_2_normal,direct_arch,Zero,Zero,0,,,"GARCH(3,2)",GARCH,3,0,2,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.713563519563488,2.3705845425088823,1.6377099915433986,745,3.661525620078004,1.4143752214634535,1.0788119888683978,,7034.315119387769,7069.189388623701,True,-3511.1575596938847,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_2_t,direct_arch,Zero,Zero,0,,,"GARCH(3,2)",GARCH,3,0,2,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.7176250872109415,2.382181393828941,1.6432786476558296,745,3.6526914913455935,1.4201859796604932,1.077693241907709,,6939.610246478108,6980.296893920028,True,-3462.805123239054,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_2_skewt,direct_arch,Zero,Zero,0,,,"GARCH(3,2)",GARCH,3,0,2,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.7184490959147976,2.3882786964630216,1.6389464411580132,745,3.6552219920687676,1.4249621757894047,1.077016037935485,,6908.811485056303,6955.310510704212,True,-3446.4057425281517,8.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_2_ged,direct_arch,Zero,Zero,0,,,"GARCH(3,2)",GARCH,3,0,2,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.714845514109703,2.374108260032906,1.6409261906313102,745,3.653680398096526,1.4152566773172346,1.0773634434253156,,6955.129086226416,6995.815733668336,True,-3470.564543113208,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_3_normal,direct_arch,Zero,Zero,0,,,"GARCH(3,3)",GARCH,3,0,3,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.719226267646369,2.3656706600048696,1.6313307333983726,745,3.6258715305657665,1.4116629061195909,1.0683088511765004,,7037.255631325561,7077.942278767481,True,-3511.6278156627804,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_3_t,direct_arch,Zero,Zero,0,,,"GARCH(3,3)",GARCH,3,0,3,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.723749327479194,2.3793527995952948,1.6383628684368183,745,3.611336171382522,1.4168490491127421,1.0680553000486694,,6941.51699899077,6988.016024638679,True,-3462.758499495385,8.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_3_3_skewt,direct_arch,Zero,Zero,0,,,"GARCH(3,3)",GARCH,3,0,3,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.724182955503888,2.386268940371409,1.6352051897584776,745,3.627352537226086,1.4230881336200574,1.069216545670272,,6911.008748740961,6963.320152594859,True,-3446.5043743704805,9.0,2471.0,3968.0,,,,,,,,,,
