model,split,regime,threshold_source,q50,q75,q90,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
Calibrated-Hybrid-LogTarget-scale_qlike,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.7064379715221103,1.6550466615254094,0.5797152862782556,0.08384782905334565,1.738894490578755,20.738694253758627
Calibrated-Hybrid-LogTarget-scale_qlike,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,10.865575339717196,5.745578032484028,4.350285528345962,7.95855861532247,2.3972636926183455,0.30121832463518416
Calibrated-Hybrid-LogTarget-scale_qlike,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.707030309051764,0.5641950837946882,1.4584011353421218,1.524715411321571,1.989384583708743,1.3047579692163094
Calibrated-Hybrid-LogTarget-scale_qlike,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.3374814093378458,1.2638234380028395,0.9041996246279275,0.5675483883492694,1.8313718263521088,3.226811781949916
Calibrated-Hybrid-QLIKE-affine_nonnegative,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.8154438701942515,1.8080230649010718,0.6790122664458665,0.08384782905334565,1.8918708939544175,22.563147016612344
Calibrated-Hybrid-QLIKE-affine_nonnegative,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.10065746957973,5.846084706916144,4.474457925845397,7.95855861532247,2.1228380098530075,0.2667364924304189
Calibrated-Hybrid-QLIKE-affine_nonnegative,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.6037340987465962,0.522958038829211,1.4539705079517007,1.524715411321571,2.0097505148811994,1.3181151708430732
Calibrated-Hybrid-QLIKE-affine_nonnegative,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.3877532122793326,1.3663092938199313,0.9509436144994652,0.5675483883492694,1.9338576821692006,3.4073882013723638
Calibrated-Hybrid-QLIKE-isotonic,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.4819670990342437,1.3968355483409796,0.41395867559089505,0.08384782905334565,1.4806833773943253,17.65917369729734
Calibrated-Hybrid-QLIKE-isotonic,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,10.855664799549553,5.774754767326725,4.738181470109923,7.95855861532247,2.3366403075776416,0.2936009421453465
Calibrated-Hybrid-QLIKE-isotonic,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.859626450477197,0.5800654756238365,1.4611788763533657,1.524715411321571,1.8577825673863506,1.2184454578156905
Calibrated-Hybrid-QLIKE-isotonic,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.20095110466203,1.0406547074523689,0.8071369154225587,0.5675483883492694,1.608203095801638,2.8335964453694293
Calibrated-Hybrid-QLIKE-scale_mean,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.9637370559985017,1.9559930225153404,0.7510992195953897,0.08384782905334565,2.039840851568686,24.327891068842092
Calibrated-Hybrid-QLIKE-scale_mean,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.010951487467663,5.69003560231242,4.279097589512176,7.95855861532247,2.288872727837033,0.2875989030765329
