model,split,model_group,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,extreme_regime_qlike,spike90_underprediction_rate,spike90_severe_underprediction_rate,spike90_average_pred_actual_ratio,var1_violation_rate,var1_kupiec_p_value
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,benchmark_garch_family,726,3.7668002822480866,1.7436829254499575,1.1753828013821073,1.2119119537615395,1.7352807348634005,1.431853798848527,4.732300637357048,1.0,0.9069767441860463,0.2911046792411712,0.0137741046831955,0.3336797522874875
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,benchmark_garch_family,726,3.767485349848276,1.7480112084279322,1.176638898734111,1.2119119537615395,1.7414305884843961,1.436928304139037,4.72146715751402,1.0,0.9069767441860463,0.2921363573608853,0.0137741046831955,0.3336797522874875
Calibrated-Hybrid-LogTarget-scale_mean,test,neural_or_hybrid,726,3.7296497954581698,1.8486030485439426,1.1845566594387769,1.2119119537615395,1.9248837529938303,1.5883032979577145,4.272094155307695,0.9767441860465116,0.8837209302325582,0.3436390719368573,0.012396694214876,0.5315532780578027
LSTM-QLIKE,test,neural_or_hybrid,726,3.7824845578550947,1.7140734751998588,1.1858763490651132,1.2119119537615395,1.6669797831658817,1.3754957841548636,4.909112308355295,1.0,0.9302325581395348,0.2616559277595553,0.0151515151515151,0.1948135521261446
Calibrated-LSTM-affine_nonnegative,test,neural_or_hybrid,726,3.7858303204074826,1.760308981614549,1.1947331338387612,1.2119119537615395,1.7441345292343013,1.4391594404369445,4.747411098680311,1.0,0.9302325581395348,0.2827851393272535,0.0151515151515151,0.1948135521261446
Calibrated-LSTM-scale_qlike,test,neural_or_hybrid,726,3.787689422450558,1.7715857549296956,1.1979578007462963,1.2119119537615395,1.7599852456980305,1.4522385394709392,4.719612458492027,1.0,0.9302325581395348,0.2853550942180614,0.0151515151515151,0.1948135521261446
Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,benchmark_garch_family,726,3.783389202219532,1.8358945832750009,1.2024477548212331,1.2119119537615395,1.864585280478934,1.5385484685513855,4.521963771094051,1.0,0.8837209302325582,0.3127963614684843,0.0110192837465564,0.7859536730547492
Calibrated-LSTM-LogTarget-Small-isotonic,test,neural_or_hybrid,726,3.8975649115039235,2.0450107893472413,1.2091521864916113,1.2119119537615395,2.1194449444349064,1.7488439963452467,4.278562504683267,0.9767441860465116,0.813953488372093,0.3901111154077279,0.012396694214876,0.5315532780578027
Calibrated-LSTM-scale_mean,test,neural_or_hybrid,726,3.801956749851284,1.8483780275706518,1.2202344488212051,1.2119119537615395,1.8668636994655252,1.5404284887785311,4.546456634473967,1.0,0.9069767441860463,0.3026838254214914,0.0137741046831955,0.3336797522874875
Calibrated-LSTM-QLIKE-scale_qlike,test,neural_or_hybrid,726,3.807426607673847,1.8589650042904746,1.227070855116286,1.2119119537615395,1.8703820796604038,1.5433316536363066,4.554665069870131,1.0,0.9069767441860463,0.2935827796237223,0.0137741046831955,0.3336797522874875
Hybrid-QLIKE,test,neural_or_hybrid,726,3.807295921789446,1.862578359682915,1.2305083298195814,1.2119119537615395,1.8776064628411915,1.549292798881524,4.570474550398699,1.0,0.9069767441860463,0.2975594729203228,0.0137741046831955,0.3336797522874875
Calibrated-LSTM-QLIKE-affine_nonnegative,test,neural_or_hybrid,726,3.8103628869747026,1.873142701501157,1.2311593233589233,1.2119119537615395,1.8897348849257045,1.5593004748078723,4.525547303248287,1.0,0.9069767441860463,0.296620474662126,0.0137741046831955,0.3336797522874875
