proxy,model,split,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,qlike_rank
yang_zhang_10,Refit-OriginalGARCH-expanding_quarterly,validation,750,0.9320034738742299,0.5539700642431761,1.3066774229764633,1.9036667128383755,2.010580307439424,1.0561619289133022,7.0
yang_zhang_10,RollingVol-10,test,744,0.776070345280822,0.43940121720029146,0.8280876454754479,1.0963855638055875,1.2320769708861483,1.1237624897299558,18.0
yang_zhang_10,RollingVol-10,validation,750,1.2343396979356585,0.6967810315186859,1.3861561854952706,1.9036667128383755,2.048206379218172,1.075926981023,28.0
yang_zhang_10,RollingVol-20,test,744,1.3020775438130523,0.548973439023942,0.7752282381042863,1.0963855638055875,1.2264549029427447,1.1186346696190368,15.0
yang_zhang_10,RollingVol-20,validation,750,1.5402767830295485,0.8903372981255999,1.3826351565689796,1.9036667128383755,2.0707889938779953,1.0877896744805922,27.0
yang_zhang_10,RollingVol-5,test,744,1.6174348103032898,0.7336731914961343,1.5644633398315673,1.0963855638055875,1.2066010617062053,1.1005262213760427,71.0
yang_zhang_10,RollingVol-5,validation,750,2.0612033120178404,1.1680772818792753,2.113817916126832,1.9036667128383755,2.0510541311963206,1.077422910934966,71.0
yang_zhang_20,ARIMA-GARCH,test,744,1.048956443095004,0.46852090821124187,0.8041316767671353,1.0997460973761917,1.2488395834122297,1.1355708252948111,4.0
yang_zhang_20,ARIMA-GARCH,validation,750,0.9500893756916562,0.5912141273536738,1.3718596650791954,1.9017895715564497,1.9666954342429883,1.0341288351020974,4.0
yang_zhang_20,ARIMA-GARCH-LSTM,test,725,1.462769656894375,1.024826932616915,1.0796408897534076,1.0950145343807003,1.7013506634482023,1.5537242749114955,39.0
yang_zhang_20,ARIMA-GARCH-LSTM,validation,731,1.3668548192873413,0.9043132718720381,1.5102579474026965,1.937985542881421,1.9692230159378574,1.0161185273910724,37.0
yang_zhang_20,AdvGARCH-BestARIMA,test,744,1.1405126983034564,0.4608658733289425,0.8273495288584451,1.0997460973761917,1.1319482040463076,1.0292814011770033,11.0
yang_zhang_20,AdvGARCH-BestARIMA,validation,750,1.16328928389893,0.6797437447198279,1.41577598566956,1.9017895715564497,1.6590120539627702,0.8723425970860765,14.0
yang_zhang_20,AdvGARCH-BestAsymmetric,test,744,1.1499765170486893,0.46175149236583374,0.8286555719098866,1.0997460973761917,1.1348870178842558,1.0319536669344902,14.0
yang_zhang_20,AdvGARCH-BestAsymmetric,validation,750,1.1260061001348585,0.6611802628043473,1.4075226108319405,1.9017895715564497,1.6877556244576706,0.8874565565507803,13.0
yang_zhang_20,AdvGARCH-BestHeavyTail,test,744,1.1963925090690293,0.4883514824172331,0.8336357366306592,1.0997460973761917,1.1526791023945568,1.0481320235140223,15.0
yang_zhang_20,AdvGARCH-BestHeavyTail,validation,750,1.2064933297248426,0.7172377867899709,1.4265505532543528,1.9017895715564497,1.6990947125479319,0.89341888185735,17.0
yang_zhang_20,AdvGARCH-BestQLIKE,test,744,1.1405126983034564,0.4608658733289425,0.8273495288584451,1.0997460973761917,1.1319482040463076,1.0292814011770033,11.0
